homelat,homelon,homecontinent,n
-8.8,-37,South America,6
-8.8,13.3,Africa,3
-8.8,34.5,Africa,9
-8.8,115.1,NA,2
-8.8,115.2,NA,4
-8.8,116.8,NA,4
-8.7,115.2,Asia,149
-8.7,115.3,Asia,2
-8.7,115.4,NA,27
-8.7,116.3,Asia,20
-8.7,117.4,Asia,1
-8.7,121.1,Asia,1
-8.6,115.1,Asia,17
-8.6,115.2,Asia,4
-8.6,115.3,Asia,6
-8.6,116.1,Asia,1
-8.5,-35,South America,1
-8.5,115.3,Asia,8
-8.5,116.1,NA,1
-8.4,115.1,Asia,2
-8.3,-36,South America,2
-8.3,-35,South America,4
-8.3,115.1,Asia,1631
-8.3,157.3,NA,31
-8.2,-79,South America,4
-8.2,-34.9,South America,3
-8.2,113.7,Asia,2
-8.2,114.4,Asia,3
-8.1,-79.1,South America,3
-8.1,-79,South America,29
-8.1,-78.5,South America,7
-8.1,-34.9,South America,2
-8.1,111.1,Asia,1
-8.1,112,Asia,2
-8.1,112.1,Asia,1
-8.1,115.1,Asia,5
-8,-50,South America,1
-8,-34.9,South America,203
-8,-34.8,NA,2
-8,110.6,Asia,3
-8,112.6,Asia,11
-7.9,-14.4,Africa,1
-7.8,108.5,Asia,1
-7.8,108.5,NA,1
-7.8,110.4,Asia,63
-7.7,108.5,Asia,4
-7.7,108.7,Asia,1
-7.7,109,Asia,1
-7.7,110.3,Asia,1
-7.7,110.4,Asia,1
-7.6,-37.5,South America,1
-7.6,110.8,Asia,1
-7.6,112.3,Asia,2
-7.6,158.8,NA,14
-7.5,110.8,Asia,2
-7.5,112.2,Asia,3
-7.5,112.7,Asia,3
-7.4,107.2,Asia,4
-7.4,109.2,Asia,1
-7.4,109.6,Asia,1
-7.3,107.8,Asia,2
-7.3,112.8,NA,16
-7.2,-78.5,South America,1
-7.2,-39.3,South America,1
-7.2,-39.1,South America,1
-7.2,-35.9,South America,2
-7.2,110.1,Asia,1
-7.1,-49.9,South America,3
-7.1,-34.9,South America,1
-7.1,-34.8,South America,14
-7.1,107.6,Asia,1
-7.1,107.7,Asia,9
-7.1,107.8,Asia,2
-7,106.5,Asia,6
-7,110.4,Asia,4
-7,113.2,Asia,1
-6.9,107.6,Asia,112
-6.9,109.1,Asia,1
-6.9,110.4,NA,1
-6.9,110.7,Asia,2
-6.8,-79.8,South America,7
-6.8,-39.3,South America,1
-6.8,39.2,Africa,9
-6.8,106,Asia,1
-6.7,-38.4,South America,1
-6.7,106.9,Asia,1
-6.7,147,Australia,1
-6.6,106.6,Asia,2
-6.6,106.8,Asia,13
-6.6,111.1,Asia,2
-6.4,-35.1,South America,1
-6.4,-35,South America,2
-6.4,106.7,Asia,1
-6.4,106.8,Asia,4
-6.4,106.9,Asia,2
-6.4,107,Asia,2
-6.3,-36.5,South America,2
-6.3,106.7,Asia,4
-6.3,106.8,Asia,12
-6.3,107.3,Asia,1
-6.3,107.8,Asia,1
-6.3,144,Australia,19
-6.2,-35,NA,1
-6.2,35.8,Africa,1
-6.2,39.3,Africa,1
-6.2,106.7,Asia,6
-6.2,106.8,Asia,50
-6.2,106.9,Asia,16
-6.2,107,Asia,2
-6.2,155.6,Australia,2
-6.1,-77.1,South America,4
-6.1,106.2,Asia,1
-6.1,106.8,Asia,1
-5.9,-35.3,South America,2
-5.9,-35.2,South America,3
-5.9,39.3,Africa,1
-5.8,-35.2,South America,94
-5.5,-39.3,South America,26
-5.4,105.3,Asia,1
-5.2,-37.3,South America,1
-5.2,103.9,Asia,2
-5.2,119.5,Asia,1
-5.1,-42.8,South America,8
-5.1,-35.6,South America,4
-5.1,119.4,Asia,3
-5,-47.5,South America,3
-5,-45.3,South America,2
-4.9,-80.7,South America,1
-4.8,119.6,Asia,49
-4.7,-37.4,South America,1
-4.7,55.5,Africa,9
-4.6,-69.5,South America,1
-4.6,-37.8,South America,2
-4.6,105.4,Asia,2
-4.5,-37.8,South America,10
-4.4,-61.3,South America,94
-4.4,55.8,NA,2
-4.4,55.9,NA,7
-4.1,-81,South America,2
-4.1,-79,South America,1
-4,-79.2,South America,1
-3.9,-38.6,South America,1
-3.8,-38.5,South America,6
-3.8,-32.4,NA,1
-3.7,-38.7,South America,3
-3.7,-38.5,South America,193
-3.7,-38.5,NA,4
-3.6,-38.7,South America,1
-3.5,-62.2,South America,3
-3.5,39.9,NA,1
-3.5,116,Asia,1
-3.4,-72.5,South America,1
-3.4,29.9,Africa,1
-3.4,36.7,Africa,1
-3.3,40,NA,1
-3.1,-60,South America,14
-3,104.8,Asia,3
-2.9,-79,South America,17
-2.9,-41.8,South America,5
-2.9,-40.8,South America,1
-2.9,-40.5,South America,1
-2.8,-78.8,South America,1
-2.8,-42.8,South America,6
-2.7,-79.6,South America,1
-2.7,-78.8,South America,1
-2.6,-80.4,South America,1
-2.6,29.6,Africa,1
-2.5,-44.3,South America,6
-2.5,-43.1,South America,2
-2.3,-78.1,South America,1
-2.3,40.9,NA,1
-2.2,-81,NA,1
-2.2,-80.9,South America,12
-2.2,-79.9,South America,166
-2.2,-79.9,NA,1
-2.2,115.7,Asia,11
-2.1,-79.9,NA,2
-2.1,25.9,Africa,1
-2,-79.9,South America,19
-2,-79.7,South America,13
-1.8,-80.8,South America,39
-1.8,-79.5,South America,2
-1.8,-78.2,South America,196
-1.8,-53.5,South America,1
-1.7,-80.8,South America,2
-1.7,-78.7,South America,6
-1.5,-48.5,NA,14
-1.5,37.3,Africa,1
-1.4,-48.5,NA,2
-1.4,98.9,Asia,33
-1.4,121.4,Asia,1
-1.3,-46,South America,1
-1.3,36.8,Africa,81
-1.3,36.9,Africa,1
-1.2,36.7,Africa,1
-1.2,36.8,Africa,2
-1.2,116.9,NA,1
-1.1,-80.5,South America,72
-1.1,37,Africa,1
-1,-91,South America,23
-1,-80.7,South America,22
-1,-79.5,South America,1
-0.9,-89.4,South America,1
-0.9,-78.6,South America,1
-0.9,100.4,Asia,4
-0.9,119.9,Asia,3
-0.8,113.9,Asia,110
-0.6,-90.3,South America,12
-0.6,-80.4,South America,1
-0.6,101.3,Asia,87
-0.5,-80.5,NA,2
-0.5,37.3,Africa,1
-0.5,117.1,Asia,2
-0.4,34.2,Africa,1
-0.3,-79.2,South America,1
-0.3,-78.5,South America,2
-0.3,103.2,Asia,1
-0.3,111.5,Asia,1
-0.2,-79.2,South America,1
-0.2,-78.5,South America,52
-0.1,-78.5,South America,1
-0.1,-78.4,South America,1
0,-78.5,South America,1
0,-51.1,South America,4
0,37.1,Africa,1
0,37.9,Africa,2
0,109.3,Asia,2
0.1,-80.1,South America,3
0.1,-51.1,South America,1
0.2,6.6,Africa,2
0.3,-78.1,South America,2
0.3,32.6,Africa,6
0.4,9.5,Africa,1
0.5,-80,South America,2
0.5,-77.9,South America,1
0.5,102.7,Asia,37
0.5,116.4,Asia,4
0.6,97.8,Asia,4
0.6,124,Asia,1
0.7,10,Africa,1
0.7,30.3,Africa,1
0.9,-79.8,South America,2
0.9,-52,South America,2
1,-79.7,South America,5
1,104,Asia,1
1,114.6,Asia,2
1.1,97.5,Asia,1
1.1,104,Asia,1
1.1,120.8,Asia,1
1.3,103.7,Asia,1
1.3,103.8,Asia,14
1.3,103.9,Asia,6
1.4,103.8,Asia,98
1.4,103.9,Asia,10
1.5,103.7,Asia,3
1.5,103.8,Asia,5
1.5,124.8,Asia,3
1.6,110.4,Asia,2
2,45.3,Africa,1
2,73.5,NA,150
2.1,99.5,Asia,1
2.1,103.4,Asia,1
2.2,102.2,NA,4
2.5,101.8,NA,1
2.6,102,Asia,1
2.7,11.7,Africa,3
2.8,-60.7,South America,2
2.8,95.9,Asia,4
3,99.1,Asia,1
3,101.7,Asia,9
3.1,101.5,Asia,5
3.1,101.6,Asia,16
3.1,101.7,Asia,27
3.1,101.8,Asia,1
3.2,101.5,Asia,1
3.2,101.7,Asia,3
3.3,101.7,Asia,2
3.4,-76.5,South America,3
3.4,98.7,Asia,1
3.5,-76.5,South America,47
3.6,98.7,Asia,6
3.6,101.7,Asia,28
3.8,-76.6,South America,1
3.8,11.5,Africa,1
3.8,103.2,Asia,2
3.8,103.3,Asia,3
3.9,-75.5,South America,6
3.9,-74.9,South America,1
3.9,-56,South America,2
3.9,-53.1,NA,2
3.9,73.5,NA,4
4,-73.8,South America,1
4,13.9,Africa,1
4.2,10.1,Africa,2
4.2,73.5,Asia,8
4.2,102,Asia,40
4.4,-75.2,South America,5
4.4,73.7,NA,2
4.5,-75.7,South America,1
4.5,114.7,Asia,6
4.6,-75.6,South America,1
4.6,-74.3,South America,122
4.6,-74.1,South America,3
4.6,11.7,Africa,30
4.6,114.3,Asia,1
4.7,-74.1,South America,174
4.7,-74,South America,1
4.7,96.7,Asia,7
4.8,-75.7,South America,2
4.8,-74.3,South America,3
4.8,24.6,Africa,1
4.9,-74,South America,1
4.9,-73.9,South America,2
4.9,-58.9,South America,1
4.9,-52.3,NA,4
4.9,-1.9,Africa,2
4.9,-1.8,Africa,5
5,-75.5,South America,1
5,7,Africa,1
5,8.3,Africa,2
5.1,-75.5,South America,1
5.1,100.5,Asia,1
5.2,9.4,Africa,8
5.2,97.1,Asia,1
5.3,-4,Africa,1
5.3,73,NA,1
5.3,103.1,Asia,3
5.4,100.3,NA,1
5.5,-87.1,NA,1
5.5,-0.4,Africa,1
5.5,7,Africa,1
5.5,95.2,NA,1
5.5,102.2,Asia,4
5.6,-0.2,Africa,25
5.6,-0.1,Africa,1
5.7,-77.3,South America,2
5.7,-0.3,Africa,1
5.7,0,Africa,1
5.7,7.4,Africa,1
6,80.2,NA,3
6,80.4,Asia,8
6,102.1,Asia,1
6,124.6,NA,1
6.1,5,Africa,3
6.1,80.2,Asia,33
6.1,100.4,Asia,1
6.1,125.2,Asia,3
6.2,-75.6,South America,44
6.2,-75.2,South America,1
6.2,1.2,Africa,1
6.4,-66.6,South America,950
6.4,-63.6,South America,9
6.4,3.2,Africa,9
6.5,3.3,Africa,1
6.5,3.4,Africa,29
6.5,3.4,NA,2
6.5,3.5,NA,1
6.5,3.6,Africa,2
6.5,10.4,Africa,1
6.5,101.5,Asia,1
6.6,7.5,Africa,1
6.7,-1.6,Africa,5
6.7,2.2,Africa,1
6.9,79.9,Asia,19
6.9,81.8,Asia,1
6.9,158.2,Australia,2
7,100.5,Asia,1
7,125.6,NA,1
7.1,-73.1,South America,11
7.1,-69.5,South America,1
7.1,80,Asia,5
7.2,79.9,Asia,1
7.2,125.5,Asia,21
7.3,-80.5,South America,14
7.3,80.6,Asia,2
7.3,99.3,NA,1
7.3,126.1,Asia,2
7.4,-80.2,South America,4
7.4,3.9,Africa,2
7.4,12.4,Africa,18
7.4,125.8,Asia,1
7.5,-80.1,South America,6
7.5,-61.9,South America,2
7.5,-5.5,Africa,7
7.6,-80.4,South America,1
7.7,-80.6,South America,1
7.7,-62.6,South America,3
7.8,-80.7,South America,1
7.8,-80.3,South America,2
7.8,-72.4,South America,5
7.8,-72.2,South America,9
7.8,6.7,Africa,1
7.8,98.3,Asia,2
7.8,98.3,NA,2
7.9,-72.5,South America,2
7.9,-72.1,South America,9
7.9,-67.5,South America,1
7.9,-1,Africa,13
7.9,80.8,Asia,106
7.9,98.3,Asia,3
8,-80.5,South America,1
8,-75.6,South America,2
8,79.8,Asia,2
8,98.3,Asia,24
8,124.7,Asia,1
8,125.3,Asia,2
8.1,-71.7,South America,4
8.1,-63.6,South America,12
8.2,77.4,Asia,1
8.2,79.8,NA,37
8.2,123.8,Asia,1
8.2,124.2,Asia,1
8.3,-82.9,South America,1
8.3,-62.8,South America,17
8.3,-62.7,South America,4
8.4,-83.1,NA,4
8.4,-71.8,South America,2
8.4,-62.6,South America,2
8.4,77,Asia,1
8.4,123.3,Asia,1
8.5,-80.8,South America,512
8.5,-79.9,South America,4
8.5,-71.2,South America,2
8.5,-11.8,Africa,5
8.5,76.9,Asia,1
8.5,77,Asia,2
8.5,123.3,Asia,3
8.5,123.8,Asia,1
8.5,124.6,Asia,15
8.6,-82.4,South America,1
8.6,-80.4,South America,6
8.6,-79.9,South America,14
8.6,-71.7,South America,1
8.6,-71.2,South America,50
8.6,-71.1,South America,1
8.6,-70.2,South America,2
8.6,-64,South America,6
8.6,0.8,Africa,3
8.7,-82.4,South America,1
8.7,-74,South America,2
8.7,-66.2,South America,24
8.7,76.7,Asia,3
8.7,77.8,Asia,2
8.8,-83.3,South America,1
8.8,-82.4,South America,2
8.8,-75.9,South America,14
8.8,7.9,Africa,1
8.9,-79.9,South America,3
8.9,-67.4,South America,2
8.9,-64.2,South America,2
8.9,-12,Africa,1
8.9,7.2,Africa,1
